ranking,brand,product,or_price,dis_price,main_class,mid_class,sub_class,review_num,review_score
32,아벤느,[장벽/보습]아벤느 트릭세라 뉴트리-플루이드 로션 200ml 더블 기획 *윤광 *광채 크림,"44,000",,스킨케어,로션,로션,"(2,042건)",4.7
33,오드로이,오드로이 블랙체리 모공수축크림 로프디 100ml,"28,000","23,800",스킨케어,크림,크림,(201건),4.6
34,바이오더마,[2월 올영픽]바이오더마 하이드라비오 토너 500ml 기획 (+K2 콜라보 파우치),"38,000","25,270",스킨케어,스킨/토너,스킨/토너,"(16,710건)",4.8
35,제로이드,[2월 올영픽/올영단독] 제로이드 인텐시브 크림 80ml 기획 (+수딩 크림 25ml+하이드레이팅 앰플 7ml),"32,000","27,360",스킨케어,크림,크림,"(3,538건)",4.8
36,온그리디언츠,[1등로션]온그리디언츠 스킨 베리어 카밍 로션 기획(220ml+80ml),"39,900","30,510",스킨케어,로션,로션,"(3,293건)",4.9
37,스킨앤랩,[NEW/한정기획]스킨앤랩 베리어덤 인텐시브 크림 50ml 1+1 기획,"23,000","18,400",스킨케어,크림,크림,"(5,524건)",4.8
38,메디힐,[4ml 추가 증정/NEW/1위] 메디힐 마데카소사이드 흔적 리페어 세럼 증량 기획(40ml+20ml),"26,900","17,900",스킨케어,에센스/세럼/앰플,에센스/세럼/앰플,"(5,516건)",4.8
39,에스트라,[올영 어워즈 1등 크림]에스트라 아토베리어365 크림 80ml,"33,000","29,700",스킨케어,크림,크림,"(2,861건)",4.8
40,리얼베리어,[2월한정] 리얼베리어 익스트림 크림 70ml 기획 (+크림 50ml + 세럼 10ml),"39,000","27,000",스킨케어,크림,크림,"(4,332건)",4.8
41,비욘드,[400만개돌파/1등수분크림] 비욘드 엔젤아쿠아 수분진정크림 더블기획(150mlX2개입)(비건),"25,000","20,800",스킨케어,크림,크림,"(5,154건)",4.8
42,아이소이,[10년연속수상] 아이소이 잡티세럼 20ml x3트리플 어워즈 한정기획(+아이&미간패치 1set),"54,000","39,900",스킨케어,에센스/세럼/앰플,에센스/세럼/앰플,"(4,642건)",4.8
43,VT,[1등에센스] VT 리들샷 100 에센스 50ml(기획/단품),"32,000","23,500",스킨케어,에센스/세럼/앰플,에센스/세럼/앰플,"(19,123건)",4.7
44,스킨앤랩,[1+1]스킨앤랩 베리어덤 링거 앰플70ml(+70ml) 더블기획,"40,000","28,000",스킨케어,에센스/세럼/앰플,에센스/세럼/앰플,"(8,517건)",5.0
45,차앤박,[2월 올영픽/재유PICK] 차앤박 더마앤서 배리어 리셋 크림 80ml 더블기획 (80ml+80ml),"44,900","29,400",스킨케어,크림,크림,"(2,533건)",4.9
46,달바,[재구매 1위/NO.1 미스트세럼] 달바 화이트 트러플 퍼스트 스프레이 세럼 100ml,"29,900","20,900",스킨케어,미스트/오일,미스트/픽서,"(5,490건)",4.8
