플랫폼,브랜드,제품명,대분류_순위,대분류,중분류,소분류,평점,후기 수,정가,할인가
올리브영,넘버즈인, 넘버즈인 1번~5번 마스크팩 10매 기획 5종 중 택 1,41,마스크팩,시트팩,시트팩,4.8,59047,40000,18000.0
올리브영,비플레인, 비플레인 녹두 모공 클레이 팩 120ml (+12ml*4ea 증정기획),42,마스크팩,페이셜팩,워시오프팩,4.7,11248,24000,
올리브영,SNP,SNPx유미어스 골드 콜라겐 퍼펙션 아이패치 더블 기획(60매+60매+곰돌찡 스티커),43,마스크팩,패치,패치,4.8,1361,34000,28900.0
올리브영,메디힐, 메디힐 에센셜 마스크팩 2+2매 고기능 6종 택1,44,마스크팩,시트팩,시트팩,4.9,54617,4000,3900.0
올리브영,더마토리, 더마토리 밀착 밴드 마스크 3종 택1 (시카(AD)/레티날/히알덤),45,마스크팩,시트팩,시트팩,4.8,16545,4000,2000.0
올리브영,바이오힐보, 바이오힐보 프로바이오덤 콜라겐 리모델링 세럼 패드 기획세트 (+세럼13ml증정),46,마스크팩,패드,패드,4.7,2686,28000,16800.0
올리브영,하우스오브비,하우스오브비 글루타치온 페이스필름 4매,47,마스크팩,시트팩,시트팩,4.9,1002,40000,29900.0
올리브영,구달, 구달 청귤 비타C 잡티케어 패드 70매 (+10매 증정),48,마스크팩,패드,패드,4.8,3681,26000,17290.0
올리브영,메디힐, 메디힐 더마 시너지 랩핑 마스크 1매 5종 택1,49,마스크팩,시트팩,시트팩,4.8,4448,3500,1900.0
올리브영,구달, 구달 청귤 비타C 수분 아이패치 60매,50,마스크팩,패치,패치,4.6,5856,20000,15200.0
올리브영,한율, 한율 5분 트러블진정패드 60+10매 (어린쑥패드),51,마스크팩,패드,패드,4.8,1381,29000,17900.0
올리브영,셀퓨전씨, 셀퓨전씨 포스트 알파 퍼스트 쿨링 마스크 1P,52,마스크팩,시트팩,시트팩,4.8,14706,3000,1500.0
올리브영,아누아, 아누아 어성초 77 모공쫀쫀 패드 70매 기획 (+70매 리필팩),53,마스크팩,패드,패드,4.8,262,45000,31500.0
올리브영,메디힐, 메디힐 레티놀 콜라겐 윤곽 마스크 1매 2종 택 1 [앰플/크림],54,마스크팩,시트팩,시트팩,4.8,3984,4000,2000.0
올리브영,토리든,토리든 마스크 시트 1매 3종 택 1(수분/진정/브라이트닝),55,마스크팩,시트팩,시트팩,4.9,6425,3000,1500.0
올리브영,라네즈, 라네즈 워터 슬리핑 마스크 70ml 기획 (+30ml+바운시&펌 20ml 증정),56,마스크팩,페이셜팩,슬리핑팩,4.8,2551,34000,21400.0
올리브영,스킨푸드, 스킨푸드 데일리 마스크 30매 5종 중 택1,57,마스크팩,시트팩,시트팩,4.8,627,27000,18900.0
올리브영,바이오힐보, 바이오힐보 프로바이오덤 콜라겐 리모델링 아이패치 60매,58,마스크팩,패치,패치,4.7,269,23000,13800.0
올리브영,바이오힐보, 바이오힐보 프로바이오덤 콜라겐 리모델링 세럼 겔 마스크 5+1매 증정 기획세트,59,마스크팩,시트팩,시트팩,4.8,3765,30000,15000.0
올리브영,브링그린,브링그린 티트리 시카 포어 클레이팩 스트롱 100g,60,마스크팩,페이셜팩,워시오프팩,4.7,11592,19000,10800.0
올리브영,브링그린,브링그린 프레시마스크 1매 5종,61,마스크팩,시트팩,시트팩,4.8,45304,1800,
올리브영,코스알엑스, 코스알엑스 원스텝 패드 90매 더블기획 3종 중 택1,62,마스크팩,패드,패드,4.8,18940,32000,25600.0
올리브영,브링그린, 브링그린 티트리시카포어코팩 5매입,63,마스크팩,코팩,코팩,4.8,10227,11800,
올리브영,메디힐, 메디힐 하이퍼 마스크 1매 2종 택 1 [콜라겐/히알루론산],64,마스크팩,시트팩,시트팩,4.7,3499,4500,3300.0
올리브영,바이오힐보, 바이오힐보 프로바이오덤 콜라겐 리모델링 세럼 패드 리필 기획(리필70매),65,마스크팩,패드,패드,4.7,2993,44800,28900.0
올리브영,얼트루,아임쏘리포마이스킨 pH5.5 수딩 젤리마스크,66,마스크팩,시트팩,시트팩,4.7,324,3000,1500.0
올리브영,린제이,린제이 모델링 마스크 7종 택1,67,마스크팩,페이셜팩,모델링팩,4.8,70407,3000,2500.0
올리브영,토리든, 토리든 다이브인 멀티패드 80매 기획 (+멀티패드 10매),68,마스크팩,패드,패드,4.7,6652,23000,16100.0
올리브영,메디필,메디필 랩핑 마스크팩 70mL 브러시 기획세트 2종 택1(레드락토 콜라겐/히알루론산 물톡스),69,마스크팩,페이셜팩,필오프팩,4.7,6548,25000,
올리브영,유세린, 유세린 울트라 센시티브 리페어 마스크팩 5매,70,마스크팩,시트팩,시트팩,4.8,1802,30000,
