플랫폼,브랜드,제품명,대분류_순위,대분류,중분류,소분류,평점,후기 수,정가,할인가
올리브영,비레디,[1+1]비레디 트루 톤 로션 33ml 1+1 기획 2종 택1 (오리지널/에어리),75,메이크업,베이스메이크업,BB/CC,4.7,1173,37000,28900.0
올리브영,투에이엔,투에이엔 베러미 아이팔레트 12colors(단품/한정기획),76,메이크업,아이메이크업,아이섀도우,4.8,2854,23000,19000.0
올리브영,라네즈,라네즈 네오 쿠션 매트 15g 기획/단품,77,메이크업,베이스메이크업,쿠션,4.7,8975,30000,24000.0
올리브영,헤라,헤라 블랙 쿠션 파운데이션 (본품15g+리필15g),78,메이크업,베이스메이크업,쿠션,4.8,11478,74000,
올리브영,헤라,헤라 센슈얼 누드 글로스 5g,79,메이크업,립메이크업,립글로스,4.8,4568,40000,
올리브영,롬앤, 롬앤 베러 댄 컨투어,80,메이크업,베이스메이크업,쉐이딩,4.8,4141,24000,21600.0
올리브영,뮤드, 뮤드 인스파이어 스키니 컬링/멀티 픽서 마스카라 (기획/단품),81,메이크업,아이메이크업,마스카라,4.8,12951,14000,12600.0
올리브영,롬앤, 롬앤 베러 댄 치크,82,메이크업,베이스메이크업,블러셔,4.7,36877,12000,9900.0
올리브영,컬러그램, 컬러그램 탕후루 탱글 틴트 16 COLOR (단품/기획),83,메이크업,립메이크업,립틴트,4.7,14787,10000,8900.0
올리브영,얼터너티브스테레오, 얼터너티브스테레오 립 포션 슈가 글레이즈 틴트,84,메이크업,립메이크업,립틴트,4.7,2300,19000,16150.0
올리브영,컬러그램, 컬러그램 올인원 애교살 메이커 9 COLOR (기획/콜라보/단품),85,메이크업,아이메이크업,아이섀도우,4.6,35548,9800,
올리브영,웨이크메이크, 웨이크메이크 워터 글로우 코팅밤 3 COLOR (본품+리필+퍼프 2매 기획),86,메이크업,베이스메이크업,파운데이션,4.6,5198,36000,25200.0
올리브영,베네피트, 베네피트 틴트 6종 택1,87,메이크업,립메이크업,립틴트,4.7,5931,32000,27200.0
올리브영,웨이크메이크, 웨이크메이크 리얼 애쉬 브러쉬 아이라이너 3color (1+1기획/단품),88,메이크업,아이메이크업,아이라이너,4.7,15855,14000,
