ranking,brand,product,or_price,dis_price,main_class,mid_class,sub_class,review_num,review_score
36,메디큐브,[모공각질/블랙헤드] 메디큐브 제로 모공 패드 2.0 70매,"24,500","17,900",마스크팩,패드,패드,"(13,668건)",4.7
37,일소,[1등코팩/4관왕] 일소 네추럴 마일드 클리어 노우즈 팩 5매입,"12,900","11,900",마스크팩,코팩,코팩,"(26,648건)",4.7
38,라운드랩,[하루특가/수분밀착] 라운드랩 자작나무 수분 패드 더블 기획 (80매+80매),"34,000","28,000",마스크팩,패드,패드,"(11,732건)",4.9
39,바이오던스,[속보습진정] 바이오던스 하이드로 세라놀 리얼 딥 마스크 7매,"35,000","29,900",마스크팩,시트팩,시트팩,(946건),4.8
40,아비브,[순한진정] 아비브 약산성 pH 시트 마스크 어성초 핏 5매 (+1매 증정 기획),"20,000","12,000",마스크팩,시트팩,시트팩,"(55,022건)",4.8
41,넘버즈인,[10매] 넘버즈인 1번~5번 마스크팩 10매 기획 5종 중 택 1,"40,000","18,000",마스크팩,시트팩,시트팩,"(59,047건)",4.8
42,비플레인,[3분/모공각질진정팩] 비플레인 녹두 모공 클레이 팩 120ml (+12ml*4ea 증정기획),"24,000",,마스크팩,페이셜팩,워시오프팩,"(11,248건)",4.7
43,SNP,[2월올영픽]SNPx유미어스 골드 콜라겐 퍼펙션 아이패치 더블 기획(60매+60매+곰돌찡 스티커),"34,000","28,900",마스크팩,패치,패치,"(1,361건)",4.8
44,메디힐,[13년연속 1위] 메디힐 에센셜 마스크팩 2+2매 고기능 6종 택1,"4,000","3,900",마스크팩,시트팩,시트팩,"(54,617건)",4.9
45,더마토리,[1매] 더마토리 밀착 밴드 마스크 3종 택1 (시카(AD)/레티날/히알덤),"4,000","2,000",마스크팩,시트팩,시트팩,"(16,545건)",4.8
46,바이오힐보,[모공탄력] 바이오힐보 프로바이오덤 콜라겐 리모델링 세럼 패드 기획세트 (+세럼13ml증정),"28,000","16,800",마스크팩,패드,패드,"(2,686건)",4.7
47,하우스오브비,하우스오브비 글루타치온 페이스필름 4매,"40,000","29,900",마스크팩,시트팩,시트팩,"(1,002건)",4.9
48,구달,[단독기획] 구달 청귤 비타C 잡티케어 패드 70매 (+10매 증정),"26,000","17,290",마스크팩,패드,패드,"(3,681건)",4.8
49,메디힐,[5종/1매] 메디힐 더마 시너지 랩핑 마스크 1매 5종 택1,"3,500","1,900",마스크팩,시트팩,시트팩,"(4,448건)",4.8
50,구달,[2023어워즈] 구달 청귤 비타C 수분 아이패치 60매,"20,000","15,200",마스크팩,패치,패치,"(5,856건)",4.6
51,한율,[유트루PICK] 한율 5분 트러블진정패드 60+10매 (어린쑥패드),"29,000","17,900",마스크팩,패드,패드,"(1,381건)",4.8
52,셀퓨전씨,[급속쿨링/열감케어] 셀퓨전씨 포스트 알파 퍼스트 쿨링 마스크 1P,"3,000","1,500",마스크팩,시트팩,시트팩,"(14,706건)",4.8
53,아누아,[1주집중] 아누아 어성초 77 모공쫀쫀 패드 70매 기획 (+70매 리필팩),"45,000","31,500",마스크팩,패드,패드,(262건),4.8
54,메디힐,[탄력리프팅] 메디힐 레티놀 콜라겐 윤곽 마스크 1매 2종 택 1 [앰플/크림],"4,000","2,000",마스크팩,시트팩,시트팩,"(3,984건)",4.8
55,토리든,토리든 마스크 시트 1매 3종 택 1(수분/진정/브라이트닝),"3,000","1,500",마스크팩,시트팩,시트팩,"(6,425건)",4.9
56,라네즈,[2월 올영픽] 라네즈 워터 슬리핑 마스크 70ml 기획 (+30ml+바운시&펌 20ml 증정),"34,000","21,400",마스크팩,페이셜팩,슬리핑팩,"(2,551건)",4.8
57,스킨푸드,[5분 마스크팩] 스킨푸드 데일리 마스크 30매 5종 중 택1,"27,000","18,900",마스크팩,시트팩,시트팩,(627건),4.8
58,바이오힐보,[NEW] 바이오힐보 프로바이오덤 콜라겐 리모델링 아이패치 60매,"23,000","13,800",마스크팩,패치,패치,(269건),4.7
59,바이오힐보,[모공탄력] 바이오힐보 프로바이오덤 콜라겐 리모델링 세럼 겔 마스크 5+1매 증정 기획세트,"30,000","15,000",마스크팩,시트팩,시트팩,"(3,765건)",4.8
60,브링그린,브링그린 티트리 시카 포어 클레이팩 스트롱 100g,"19,000","10,800",마스크팩,페이셜팩,워시오프팩,"(11,592건)",4.7
61,브링그린,브링그린 프레시마스크 1매 5종,"1,800",,마스크팩,시트팩,시트팩,"(45,304건)",4.8
62,코스알엑스,[대용량180매/34관왕] 코스알엑스 원스텝 패드 90매 더블기획 3종 중 택1,"32,000","25,600",마스크팩,패드,패드,"(18,940건)",4.8
63,브링그린,[1+1] 브링그린 티트리시카포어코팩 5매입,"11,800",,마스크팩,코팩,코팩,"(10,227건)",4.8
64,메디힐,[NEW] 메디힐 하이퍼 마스크 1매 2종 택 1 [콜라겐/히알루론산],"4,500","3,300",마스크팩,시트팩,시트팩,"(3,499건)",4.7
65,바이오힐보,[모공탄력] 바이오힐보 프로바이오덤 콜라겐 리모델링 세럼 패드 리필 기획(리필70매),"44,800","28,900",마스크팩,패드,패드,"(2,993건)",4.7
66,얼트루,아임쏘리포마이스킨 pH5.5 수딩 젤리마스크,"3,000","1,500",마스크팩,시트팩,시트팩,(324건),4.7
67,린제이,린제이 모델링 마스크 7종 택1,"3,000","2,500",마스크팩,페이셜팩,모델링팩,"(70,407건)",4.8
68,토리든,[단독기획] 토리든 다이브인 멀티패드 80매 기획 (+멀티패드 10매),"23,000","16,100",마스크팩,패드,패드,"(6,652건)",4.7
69,메디필,메디필 랩핑 마스크팩 70mL 브러시 기획세트 2종 택1(레드락토 콜라겐/히알루론산 물톡스),"25,000",,마스크팩,페이셜팩,필오프팩,"(6,548건)",4.7
70,유세린,[데일리진정장벽] 유세린 울트라 센시티브 리페어 마스크팩 5매,"30,000",,마스크팩,시트팩,시트팩,"(1,802건)",4.8
71,듀이트리,[단독기획]듀이트리 AC컨트롤 EX 딥 그린 카밍 패드 60매기획(+20매증정),"24,000","18,000",마스크팩,패드,패드,"(5,405건)",4.8
72,브링그린,[브링그린X오징어게임] 브링그린 티트리시카트러블수딩토너패드 핑크에디션 90매 리필기획(+90매+오징어게임2 세안밴드),"37,800","20,800",마스크팩,패드,패드,"(5,947건)",4.8
73,메디큐브,[요철/트러블진정] 메디큐브 엑소좀 시카 진정 패드 100매,"23,800","17,900",마스크팩,패드,패드,(502건),4.7
74,아로셀,[2월올영픽/모공쫀쫀] 아로셀 보툴케어 모공 마스크 3+1매 (+모공톡스 앰플 사셰 증정) 한정 기획,"27,000","24,300",마스크팩,시트팩,시트팩,(475건),4.9
75,메디힐,[26관왕/1위] 메디힐 더마 모델링 팩 풀패키지 5종 골라담기,"5,000",,마스크팩,페이셜팩,모델링팩,"(16,912건)",4.8
76,메디앤서,[광채탄력/대용량]메디앤서 비타 콜라겐 나노샷 마스크 10매,"60,000","29,000",마스크팩,시트팩,시트팩,(11건),4.9
77,아비브,[1매] 아비브 약산성 pH 시트 마스크 핏 1매 5종 택 1,"4,000","2,400",마스크팩,시트팩,시트팩,"(45,608건)",4.8
78,바이오힐보,[한달사용분] 바이오힐보 판테셀 리페어시카 퀵수딩마스크 30매,"26,000","16,900",마스크팩,시트팩,시트팩,(810건),4.8
79,토르홉,[2월 올영픽/60초 피지흡착] 토르홉 무스타 콩테 체인저블 퀵 마스크 90g,"30,500","22,800",마스크팩,페이셜팩,워시오프팩,(926건),4.8
80,CKD,[2월올영픽/채소PICK] CKD 레티노콜라겐 저분자300 모공탄력 마스크 4+1 기획,"20,000","14,500",마스크팩,시트팩,시트팩,"(11,361건)",4.7
81,바이오던스,[원조겔팩] 바이오던스 바이오 콜라겐 리얼 딥 마스크 16매,"80,000","68,000",마스크팩,시트팩,시트팩,"(8,417건)",4.7
82,메디큐브,[대용량/단독기획] 메디큐브 패드 1+1 리필기획 3종 택1,"33,000","28,900",마스크팩,패드,패드,"(7,771건)",4.7
83,스트라이덱스,[각질/피지] 스트라이덱스 센시티브 패드 90매,"13,900","11,800",마스크팩,패드,패드,"(21,374건)",4.7
84,리쥬란,[PDRN수분이불시트] 리쥬란 더마힐러 모이스처 트리트먼트 마스크팩 5매,"28,000","16,900",마스크팩,시트팩,시트팩,(553건),4.8
85,바이오던스,[NEW/단독선런칭] 바이오던스 겔 토너 패드 60매 (씨켈프/비타),"26,000","19,900",마스크팩,패드,패드,(46건),4.9
