플랫폼,브랜드,제품명,대분류_순위,대분류,중분류,소분류,평점,후기 수,정가,할인가
올리브영,바이오힐보,바이오힐보 프로바이오덤 콜라겐 에센스 선크림 1+1 기획세트(50ml+50ml) /단품,43,선케어,선크림,선크림,4.7,1359,30000,19900.0
올리브영,AHC, AHC 마스터즈 에어리치 선스틱 22g,44,선케어,선스틱,선스틱,4.8,11832,24000,19200.0
올리브영,브링그린,브링그린 티트리시카톤업선쿠션 15g_NEW,45,선케어,선쿠션,선쿠션,4.6,1862,20000,
올리브영,브링그린,브링그린 티트리시카쿨링선스틱 20g_NEW,46,선케어,선스틱,선스틱,4.6,731,20000,
올리브영,에스네이처, 에스네이처 아쿠아 365 유브이 선크림 40ml 2입,47,선케어,선크림,선크림,4.9,529,36000,24900.0
올리브영,스킨1004,스킨1004 마다가스카르 센텔라 히알루-시카 워터핏 선세럼 50ml,48,선케어,선크림,선크림,4.9,3501,19000,
올리브영,가히, 가히 에어리 핏 선스틱 14g 더블 기획,49,선케어,선스틱,선스틱,4.9,1204,36000,32400.0
올리브영,달바, 달바 워터풀 퍼플 톤업 선크림 50ml,50,선케어,선크림,선크림,4.7,2177,34000,23800.0
올리브영,식물나라,식물나라 가벼운 수분 선 젤 로션 기획 3종 택1(일반/보노보노/대용량),51,선케어,선크림,선크림,4.8,13497,25800,15400.0
올리브영,에스트라,에스트라 더마UV365 장벽수분 무기자차 선크림 40ml+20ml 기획,52,선케어,선크림,선크림,4.8,3545,31000,
올리브영,에딧비, 에딧비 선데이 톤업 선세럼 55ml [SPF50+ PA++++],53,선케어,선크림,선크림,4.7,5158,25000,17500.0
올리브영,피지오겔, 피지오겔 레드수딩 AI 센서티브 UV 썬스크린 80ml 대용량 기획,54,선케어,선크림,선크림,4.7,581,48000,29900.0
올리브영,에뛰드, 에뛰드 순정 디렉터 톤업 수정 선크림 40ml 1+1 기획,55,선케어,선크림,선크림,4.4,1590,25000,21900.0
올리브영,식물나라,식물나라 워터프루프 선 스프레이 SPF50+PA++++,56,선케어,선스프레이/선패치,선스프레이,4.7,5943,14800,13900.0
