ranking,brand,product,or_price,dis_price,main_class,mid_class,sub_class,review_num,review_score
37,셀퓨전씨,[UV에이징케어/밀착차단] 셀퓨전씨 레이저 UV 썬스크린 35ml 1+1 기획세트,"29,400",,선케어,선크림,선크림,"(2,452건)",4.8
38,식물나라,식물나라 보송 페이스 앤 바디 선 스틱 더블 기획 (30gX2),"27,000","19,800",선케어,선스틱,선스틱,"(14,994건)",4.8
39,차앤박,[2월 올영픽] 차앤박 톤업 프로텍션 선 50ml 더블기획 (50ml+50ml),"29,000","27,500",선케어,선크림,선크림,"(4,416건)",4.8
40,메디큐브,[톤업광채] 메디큐브 콜라겐 톤업 선크림 50ml,"29,000","13,700",선케어,선크림,선크림,(48건),4.6
41,식물나라,식물나라 가벼운 수분 선 젤 로션 60ml (단품/기획),"14,800","13,800",선케어,선크림,선크림,"(23,518건)",4.8
42,아떼,[수분자차/공용기증정] 아떼 비건 릴리프 선 에센스 단품/기획,"42,000","24,900",선케어,선크림,선크림,"(4,433건)",4.8
43,바이오힐보,[화잘먹선크림]바이오힐보 프로바이오덤 콜라겐 에센스 선크림 1+1 기획세트(50ml+50ml) /단품,"30,000","19,900",선케어,선크림,선크림,"(1,359건)",4.7
44,AHC,[1등*선스틱/노세범] AHC 마스터즈 에어리치 선스틱 22g,"24,000","19,200",선케어,선스틱,선스틱,"(11,832건)",4.8
45,브링그린,브링그린 티트리시카톤업선쿠션 15g_NEW,"20,000",,선케어,선쿠션,선쿠션,"(1,862건)",4.6
46,브링그린,브링그린 티트리시카쿨링선스틱 20g_NEW,"20,000",,선케어,선스틱,선스틱,(731건),4.6
47,에스네이처,[디렉터파이 PICK] 에스네이처 아쿠아 365 유브이 선크림 40ml 2입,"36,000","24,900",선케어,선크림,선크림,(529건),4.9
48,스킨1004,[수분 선크림]스킨1004 마다가스카르 센텔라 히알루-시카 워터핏 선세럼 50ml,"19,000",,선케어,선크림,선크림,"(3,501건)",4.9
49,가히,[NEW] 가히 에어리 핏 선스틱 14g 더블 기획,"36,000","32,400",선케어,선스틱,선스틱,"(1,204건)",4.9
50,달바,[쿨톤보정썬] 달바 워터풀 퍼플 톤업 선크림 50ml,"34,000","23,800",선케어,선크림,선크림,"(2,177건)",4.7
51,식물나라,식물나라 가벼운 수분 선 젤 로션 기획 3종 택1(일반/보노보노/대용량),"25,800","15,400",선케어,선크림,선크림,"(13,497건)",4.8
52,에스트라,에스트라 더마UV365 장벽수분 무기자차 선크림 40ml+20ml 기획,"31,000",,선케어,선크림,선크림,"(3,545건)",4.8
53,에딧비,[이나연PICK/화잘먹SUN] 에딧비 선데이 톤업 선세럼 55ml [SPF50+ PA++++],"25,000","17,500",선케어,선크림,선크림,"(5,158건)",4.7
54,피지오겔,[대용량] 피지오겔 레드수딩 AI 센서티브 UV 썬스크린 80ml 대용량 기획,"48,000","29,900",선케어,선크림,선크림,(581건),4.7
55,에뛰드,[톤업/디렉터파이] 에뛰드 순정 디렉터 톤업 수정 선크림 40ml 1+1 기획,"25,000","21,900",선케어,선크림,선크림,"(1,590건)",4.4
56,식물나라,식물나라 워터프루프 선 스프레이 SPF50+PA++++,"14,800","13,900",선케어,선스프레이/선패치,선스프레이,"(5,943건)",4.7
57,유이크,[화잘먹 수분선크림]유이크 바이옴 레미디 수분 선크림 50ML(+수분선크림 20ml 증정),"27,000","21,600",선케어,선크림,선크림,(25건),4.7
58,듀이트리,[톤업/민감 선크림] 듀이트리 어반쉐이드 안티폴루션 선 50ml 2종 중 택 1,"30,000",,선케어,선크림,선크림,"(6,537건)",4.7
59,식물나라,[대용량] 식물나라 워터프루프 선 크림 100mL,"19,000","10,800",선케어,선크림,선크림,"(7,948건)",4.8
60,조선미녀,[단독/쿨링진정] 조선미녀 맑은쌀선크림 아쿠아프레쉬 50ml 2입 기획,"30,000","26,000",선케어,선크림,선크림,(198건),4.8
61,라로슈포제,라로슈포제 유비데아 안뗄리오스 틴티드 크림 [톤보정],"37,000",,선케어,선크림,선크림,"(1,571건)",4.7
62,라로슈포제,라로슈포제 유비데아 안뗄리오스 톤업 라이트 크림 30ml,"37,000",,선케어,선크림,선크림,(754건),4.7
63,더하르나이,[화잘먹선크림/1+1]더하르나이 무기자차 시카이드 마일드 선케어 50ml+50ml 기획,"28,000","23,800",선케어,선크림,선크림,(83건),4.7
64,달바,[민감자차/온가족썬] 달바 마일드 선크림 듀오 기획 (50ml+50ml),"51,000","35,700",선케어,선크림,선크림,"(1,590건)",4.7
65,프리메라,[톤업선크림] 프리메라 리페어링 세라캡슐 UV프로텍터 톤업 프라이밍 40ml,"34,000","22,700",선케어,선크림,선크림,(74건),4.7
66,오브제,오브제 오일 컨트롤 선스틱 18g,"19,800","15,900",선케어,선스틱,선스틱,(48건),4.7
67,메디큐브,[NEW/리뷰이벤트] 메디큐브 PDRN 핑크 톤업 선크림 50ml,"24,000","15,900",선케어,선크림,선크림,(14건),4.6
68,싸이닉,[광노화 선 케어] 싸이닉 엔조이 슈퍼 마일드 선 에센스 더블 기획 (50ml+50ml),"15,000",,선케어,선크림,선크림,"(9,983건)",4.8
69,듀이트리,[파데프리 선크림]듀이트리 어반쉐이드 커버 앤 핏 선 40ml 2종 중 택 1,"24,000","20,500",선케어,선크림,선크림,"(1,674건)",4.5
70,브링그린,브링그린 티트리시카 선 3종(선크림/선스틱/선쿠션),"20,000",,선케어,선크림,선크림,"(4,828건)",4.6
71,아로마티카,[쿨링젤] 아로마티카 수딩 알로에 베라 젤 300ml,"11,000",,선케어,태닝/애프터선,애프터선,"(14,075건)",4.7
72,메디힐,[24시간차단/물벽선크림] 메디힐 수분 유브이컷 선크림 50g [히알루론산],"17,000","13,400",선케어,선크림,선크림,"(5,800건)",4.9
73,넘버즈인,[파데프리]넘버즈인 3번 도자기결 파데스킵 톤업베이지 50ml (SPF50+ PA++++),"26,000","18,200",선케어,선크림,선크림,"(5,552건)",4.6
74,닥터자르트,닥터자르트 에브리선데이 모이스처라이징 선 30ml,"22,000","13,200",선케어,선크림,선크림,(337건),4.6
75,라운드어라운드,[급속쿨링]라운드어라운드 컴포트 그린티 에어 선스틱 더블기획,"36,000","18,000",선케어,선스틱,선스틱,(886건),4.8
76,라운드랩,[저자극/안심자차] 라운드랩 자작나무 무기자차 선크림 50ml 기획 (+클렌저20ml),"25,000","17,500",선케어,선크림,선크림,"(3,804건)",4.7
77,마녀공장,마녀공장 파데프리 선크림 50ml SPF50+ PA++++,"28,000","16,900",선케어,선크림,선크림,"(1,398건)",4.8
78,이니스프리,이니스프리 그린티 히알루론산 수분 선세럼 50ml 1+1 기획,"28,000","25,760",선케어,선크림,선크림,"(2,570건)",4.8
79,메이크프렘,[생기톤업 무기자차/단독기획] 메이크프렘 수딩 핑크 톤업 선크림 40ml+40ml,"30,000","25,500",선케어,선크림,선크림,"(3,000건)",4.8
80,토리든,[무기자차/단독증량기획] 토리든 다이브인 무기자차 마일드 선크림 60ml 기획 (+20ml 추가 증정),"25,000",,선케어,선크림,선크림,"(1,965건)",4.7
81,오드로이,오드로이 모공축소 톤업 선크림 블리미 필리디 50ml,"18,900","16,070",선케어,선크림,선크림,(190건),4.8
82,라운드랩,[즉각쿨링] 라운드랩 자작나무 수분 선스틱 19g+19g,"29,000","24,900",선케어,선스틱,선스틱,"(2,678건)",4.8
83,달바,[산뜻보송/쿨톤보정썬] 달바 퍼플 톤업 선크림 듀오 기획 (50ml+50ml),"51,000",,선케어,선크림,선크림,"(2,076건)",4.7
84,듀이트리,[무기자차] 듀이트리 어반쉐이드 커버 앤 핏 선쿠션 14g,"24,000","15,600",선케어,선쿠션,선쿠션,(563건),4.5
85,유이크,[극강보송]유이크 바이옴 레미디 퍼펙트 보송 선스틱 18g,"24,000",,선케어,선스틱,선스틱,(9건),5.0
86,라타플랑,[NEW / 1+1 기획] 라타플랑 미나리 진정 선크림 50ml 1+1 기획(50ml+50ml),"25,000","23,900",선케어,선크림,선크림,"(1,297건)",4.9
87,비레디,비레디 블루 수분 선크림 50ml 1+1 기획,"25,000","23,700",선케어,선크림,선크림,(345건),4.9
88,조선미녀,[글로벌대란템] 조선미녀 맑은쌀 선크림 50ml,"18,000","15,100",선케어,선크림,선크림,(898건),4.8
89,로벡틴,[산뜻촉촉/수분진정] 로벡틴 아쿠아 수딩 선크림 35ml 1+1 기획세트,"42,000","23,100",선케어,선크림,선크림,(825건),4.7
90,닥터지,[모공커버/증정기획] 닥터지 포어 블러 업 선 50ml+20ml 기획,"32,000","22,400",선케어,선크림,선크림,(729건),4.7
91,닥터자르트,[1+1 올영기획]닥터자르트 에브리선데이 모이스처라이징 선 30ml 1+1 기획세트,"22,000",,선케어,선크림,선크림,"(2,513건)",4.7
92,헤라,[선착순 카밍 수딩 로션 50ml 증정] 헤라 UV프로텍터 톤업 50ml,"45,000",,선케어,선크림,선크림,(830건),4.8
93,아떼,[NEW] 아떼 속광 톤업 선쿠션 SPF50+/PA++++,"30,000","21,000",선케어,선쿠션,선쿠션,"(1,225건)",4.7
94,달바,[간편톤업/생기톤업썬] 달바 워터풀 톤업 선 쿠션 듀오 기획(15g+15g),"52,500","42,000",선케어,선쿠션,선쿠션,(756건),4.6
95,넘버즈인,[파데프리] 넘버즈인 3번 도자기결 고이빚은 세라믹쿠션 SPF50+ PA++++,"28,000","19,600",선케어,선쿠션,선쿠션,(431건),4.4
96,스킨1004,[톤업선크림]스킨1004 마다가스카르 센텔라 톤 브라이트닝 톤업 선스크린 50ml,"19,000",,선케어,선크림,선크림,(285건),4.8
97,라운드랩,[NEW/열광밀착] 라운드랩 동백 딥 콜라겐 탄력 선세럼 50ml (+7ml),"28,000","18,900",선케어,선크림,선크림,(0건),0
98,빌리프,빌리프 UV프로텍터 톤업 선스크린 50ml 라인프렌즈 에코에디션 (+DIY스티커),"39,000",,선케어,선크림,선크림,(96건),4.8
99,라운드랩,[수분쿨링] 라운드랩 자작나무 수분 선쿠션 15g,"24,000","17,800",선케어,선쿠션,선쿠션,"(2,165건)",4.6
100,라로슈포제,라로슈포제 유비데아 안뗄리오스 멜트인 크림 [수분],"37,000",,선케어,선크림,선크림,"(1,534건)",4.8
