플랫폼,브랜드,제품명,대분류_순위,대분류,중분류,소분류,평점,후기 수,정가,할인가
올리브영,온그리디언츠,온그리디언츠 스킨 베리어 카밍 로션 기획(220ml+80ml),36,스킨케어,로션,로션,4.9,3293,39900,30510.0
올리브영,스킨앤랩,스킨앤랩 베리어덤 인텐시브 크림 50ml 1+1 기획,37,스킨케어,크림,크림,4.8,5524,23000,18400.0
올리브영,메디힐, 메디힐 마데카소사이드 흔적 리페어 세럼 증량 기획(40ml+20ml),38,스킨케어,에센스/세럼/앰플,에센스/세럼/앰플,4.8,5516,26900,17900.0
올리브영,에스트라,에스트라 아토베리어365 크림 80ml,39,스킨케어,크림,크림,4.8,2861,33000,29700.0
올리브영,리얼베리어, 리얼베리어 익스트림 크림 70ml 기획 (+크림 50ml + 세럼 10ml),40,스킨케어,크림,크림,4.8,4332,39000,27000.0
올리브영,비욘드, 비욘드 엔젤아쿠아 수분진정크림 더블기획(150mlX2개입)(비건),41,스킨케어,크림,크림,4.8,5154,25000,20800.0
올리브영,아이소이, 아이소이 잡티세럼 20ml x3트리플 어워즈 한정기획(+아이&미간패치 1set),42,스킨케어,에센스/세럼/앰플,에센스/세럼/앰플,4.8,4642,54000,39900.0
올리브영,VT, VT 리들샷 100 에센스 50ml(기획/단품),43,스킨케어,에센스/세럼/앰플,에센스/세럼/앰플,4.7,19123,32000,23500.0
올리브영,스킨앤랩,스킨앤랩 베리어덤 링거 앰플70ml(+70ml) 더블기획,44,스킨케어,에센스/세럼/앰플,에센스/세럼/앰플,5.0,8517,40000,28000.0
올리브영,차앤박, 차앤박 더마앤서 배리어 리셋 크림 80ml 더블기획 (80ml+80ml),45,스킨케어,크림,크림,4.9,2533,44900,29400.0
올리브영,달바, 달바 화이트 트러플 퍼스트 스프레이 세럼 100ml,46,스킨케어,미스트/오일,미스트/픽서,4.8,5490,29900,20900.0
올리브영,성분에디터, 성분에디터 실크 펩타이드 인텐시브 리프팅 앰플 35ml,47,스킨케어,에센스/세럼/앰플,에센스/세럼/앰플,4.9,340,36000,14900.0
올리브영,쏘내추럴,쏘내추럴 올 데이 메이크업 픽서 더블기획 (120ml+120ml),48,스킨케어,미스트/오일,미스트/픽서,4.7,20060,42000,31500.0
올리브영,더하르나이,더하르나이 시카이드 크림 100ml+30ml 기획,49,스킨케어,크림,크림,4.8,3445,29000,19900.0
올리브영,차앤박, 차앤박 프로폴리스 앰플 미스트 250ml 더블기획 (250ml+250ml),50,스킨케어,미스트/오일,미스트/픽서,4.8,6182,27000,22900.0
올리브영,바이오더마,바이오더마 하이드라비오 히알루+ 세럼 30ml 기획 (+토너 250ml 증정),51,스킨케어,에센스/세럼/앰플,에센스/세럼/앰플,4.9,1096,52000,38900.0
올리브영,프리메라, 프리메라 비타티놀 세럼 21g+15g 기획/단품,52,스킨케어,에센스/세럼/앰플,에센스/세럼/앰플,4.8,5098,40000,30400.0
올리브영,셀리맥스,셀리맥스 더 리얼 노니 에너지 앰플 90ml 에디션 (80ml+10ml),53,스킨케어,에센스/세럼/앰플,에센스/세럼/앰플,4.8,12639,33000,28220.0
올리브영,아이디얼포맨,아이디얼포맨 퍼펙트 올인원(토트넘 콜라보 기획/상시기획),54,스킨케어,로션,올인원,4.9,4026,39800,29800.0
올리브영,바이오힐보, 바이오힐보 프로바이오덤 3D 리프팅크림 50ml 리필기획,55,스킨케어,크림,크림,4.8,1972,70200,39900.0
