ranking,brand,product,or_price,dis_price,main_class,mid_class,sub_class,review_num,review_score
49,코스노리,[28관왕] 코스노리 롱 액티브 아이래쉬 세럼 비건 속눈썹영양제,"18,000","14,400",메이크업,아이메이크업,마스카라,"(33,833건)",4.7
50,코스노리,[블랙영양제] 코스노리 아이래쉬 틴팅 세럼 비건 블랙 속눈썹영양제,"18,000","14,400",메이크업,아이메이크업,마스카라,"(10,122건)",4.7
51,페리페라,[우정 공동개발] 페리페라 시럽피 톡 치크,"14,000","11,200",메이크업,베이스메이크업,블러셔,(277건),4.7
52,코스노리,[NEW컬러] 코스노리 판테놀 비건 글로우 쿠션 (단품/기획),"32,000","22,400",메이크업,베이스메이크업,쿠션,"(2,522건)",4.7
53,퓌,퓌 3D 볼류밍 글로스 12컬러 (30%/70%),"18,000","13,500",메이크업,립메이크업,립글로스,"(6,167건)",4.7
54,에스쁘아,[2월 올영픽/단독기획] 에스쁘아 더브로우 밸런스 펜슬 (+눈썹 숱가위 증정),"16,000","12,500",메이크업,아이메이크업,아이브로우,"(24,164건)",4.8
55,웨이크메이크,[1+1 기획] 웨이크메이크 내추럴 하드 브로우 펜슬 5 COLOR,"13,000","11,700",메이크업,아이메이크업,아이브로우,"(30,397건)",4.7
56,롬앤,롬앤 글래스팅 멜팅 밤 (기획/단품),"13,000","9,900",메이크업,립메이크업,립밤,"(36,326건)",4.7
57,페리페라,페리페라 스피디 스키니 브로우 마스카라,"8,000","7,700",메이크업,아이메이크업,아이브로우,"(10,413건)",4.7
58,홀리카홀리카,홀리카홀리카 마이페이브 무드 아이팔레트,"28,000","21,000",메이크업,아이메이크업,아이섀도우,"(11,699건)",4.8
59,딘토,[올영어워즈 한정기획] 딘토 블러글로이 립 틴트 30colors (+미니 속광치크 증정),"20,000","14,000",메이크업,립메이크업,립틴트,"(15,461건)",4.7
60,3CE,[2월올영픽 / NEW] 3CE 글레이지 립 글로우 9colors,"21,000","17,800",메이크업,립메이크업,립스틱,(250건),4.8
61,엔트로피 메이크업,[NEW 출시] 엔트로피 메이크업 브로우 컬러 애쉬브라운,"45,000",,메이크업,아이메이크업,아이브로우,"(1,288건)",4.7
62,롬앤,[NEW] 롬앤 글래스팅 컬러 글로스,"13,000","9,900",메이크업,립메이크업,립글로스,"(19,760건)",4.7
63,루나,[혀땳은앙꼬 한정기획/올리브영 6년연속 1위] 루나 롱래스팅 팁 컨실러 기획 7colors,"15,000","10,500",메이크업,베이스메이크업,컨실러,"(35,830건)",4.7
64,지베르니,[NEW] 지베르니 플러피 듀얼 블러셔 3 COLORS (LAZY BUNNY) (온),"19,000",,메이크업,베이스메이크업,블러셔,(0건),0
65,페리페라,페리페라 잉크 무드 글로이 틴트,"11,000",,메이크업,립메이크업,립틴트,"(83,546건)",4.7
66,투쿨포스쿨,[2024 어워즈/7년연속1위] 투쿨포스쿨 바이로댕 쉐이딩 3colors,"16,000","13,600",메이크업,베이스메이크업,쉐이딩,"(42,771건)",4.8
67,데이지크,[2024어워즈/3년연속수상] 데이지크 섀도우팔레트 24 colors (단품/기획),"34,000",,메이크업,아이메이크업,아이섀도우,"(29,268건)",4.7
68,연작,[선베이스 증정] 연작 스킨 퍼펙팅 프로텍티브 베이스프렙 40ml,"45,000",,메이크업,베이스메이크업,프라이머/베이스,(794건),4.7
69,롬앤,[롬앤X이나피스퀘어] 롬앤 블러 퍼지 틴트,"13,000","9,900",메이크업,립메이크업,립틴트,"(40,648건)",4.7
70,클리오,[상은언니X공동개발][NEW 20호 출시] 클리오 킬래쉬 수퍼프루프마스카라 1+1 기획,"18,000",,메이크업,아이메이크업,마스카라,"(47,813건)",4.7
71,바닐라코,[2024 어워즈][3년연속수상] 바닐라코 프라임 프라이머 피니쉬 파우더,"22,000","17,600",메이크업,베이스메이크업,파우더/팩트,"(29,226건)",4.8
72,투에이엔,[NEW컬러/아이린PICK] 투에이엔 듀얼치크 12colors (단품/한정기획),"19,000","15,900",메이크업,베이스메이크업,블러셔,"(5,086건)",4.8
73,클리오,클리오 킬커버 하이 글로우 쿠션(본품+리필 기획),"36,000","27,000",메이크업,베이스메이크업,쿠션,"(5,489건)",4.5
