랭킹,브랜드,상품명,정가,할인가
47,디오디너리,디오디너리 나이아신아마이드 10% + 징크 1% 60ml,"12,600","42,500"
48,닥터자르트,[인씨 PICK/한정수량1+1] 닥터자르트 시카페어 인텐시브 수딩 리페어 크림 50ml 1+1 기획,"50,000","20,900"
49,이즈앤트리,[디렉터파이 PICK] 이즈앤트리 어니언 뉴페어 겔크림 50ml 기획 (+20ml +패드2매),"32,000","27,400"
50,이니스프리,[리필기획] 이니스프리 비타C 7일 톤업 세럼 30ML 리필 기획(+리필팩 30ML),"38,000","29,700"
51,에스트라,[올영 어워즈 1등 크림]에스트라 아토베리어365 크림 80ml,"33,000","39,900"
52,아이소이,[10년연속수상] 아이소이 잡티세럼 20ml x3트리플 어워즈 한정기획(+아이&미간패치 1set),"54,000","36,900"
53,아벤느,[수분 충전]아벤느 이드랑스 에센스 인 로션 200ml 더블기획,"51,000","18,900"
54,퍼셀,[2월올영픽/톤업앰플/리뷰이벤트] 퍼셀 880억/mL 글루타치온 플렉서블 리포좀 20ml 기획 (+7ml),"27,500","22,900"
오특,에스네이처,[화해 1위/속보습 진정] 에스네이처 아쿠아 오아시스 수분 젤크림 90ml 기획 (+카밍패드 2매),"34,000","22,900"
,에스네이처,[2024어워즈] 에스네이처 아쿠아 스쿠알란 세럼 50ml 어워즈 기획(+50ml리필+수분크림10ml+카밍패드2매),"35,000","25,000"
56,넘버즈인,[수딩진정]넘버즈인 1번 판토텐산 액티브업 수딩세럼 50ml 리필기획(50ml+50ml),"38,000","23,800"
57,오드로이,오드로이 블랙체리 모공수축크림 로프디 100ml,"28,000","18,100"
58,성분에디터,[1등모공앰플] 성분에디터 그린토마토 모공앰플 30ml 1+1 더블기획,"25,900","20,800"
59,비욘드,[400만개돌파/1등수분크림] 비욘드 엔젤아쿠아 수분진정크림 더블기획(150mlX2개입)(비건),"25,000","26,000"
60,빌리프,빌리프 슈퍼드랍스 멀티7 히알루론세럼 30ml 기획/단품,"33,000","29,900"
61,넘버즈인,[흔적미백] 넘버즈인 5번 글루타치온C 흔적 앰플 30ml+30ml 듀오기획,"46,000","28,000"
62,라운드랩,[민감진정] 라운드랩 소나무 진정 시카 앰플 30ml+30ml,"43,000","28,220"
63,셀리맥스,셀리맥스 더 리얼 노니 에너지 앰플 90ml 에디션 (80ml+10ml),"33,000","20,900"
64,달바,[재구매 1위/NO.1 미스트세럼] 달바 화이트 트러플 퍼스트 스프레이 세럼 100ml,"29,900","29,200"
65,이니스프리,"[2/14 오늘의 특가] 이니스프리 레티놀 시카 흔적 앰플 30ml 기획 (+20ml, 마이멜로디 파우치)","40,000","72,100"
66,유세린,[1&1/10년연속1위] 유세린 하이알루론 3X 아이크림 더블기획 (15ml+15ml),"75,900","20,300"
67,메이크프렘,[단독기획/수분진정] 메이크프렘 인테카 수딩크림 70ml 기획(+크림 31ml+패드2매*2개),"29,000","34,000"
68,아누아,[대용량기획] 아누아 어성초 77 수딩 토너 350ml 기획 (+350ml 리필팩),"49,000","29,600"
69,이니스프리,"[매끈모공] 이니스프리 레티놀 그린티 피디알엔 스킨부스터 앰플 25ml 기획 (+15ml, 마이멜로디 키링)","40,000","27,000"
70,라운드랩,[1등토너] 라운드랩 1025 독도 토너 500ml 기획 (+100ml),"30,000","29,250"
71,닥터지,[보습크림/속보습] 닥터지 레드 블레미쉬 클리어 모이스처 크림 70ml+30ml 기획(닥터지 수분크림),"39,000","28,600"
72,아이소이,[아이소이x망그러진곰][대용량] 아이소이 모이스춰 닥터 장수진 수분크림100ml 한정기획(+키링&장바구니증정),"52,000","22,900"
73,닥터엘시아,닥터엘시아 345 릴리프 크림 50ml,"29,000","29,900"
74,피지오겔,[한정기획] 피지오겔 DMT포맨 증정 기획세트 2종(플루이드 or 크림),"65,000","15,900"
75,토리든,토리든 다이브인 포맨 저분자 히알루론산 올인원 200g 단품/기획 (+클렌징폼 30ml/올인원20g),"24,000","18,900"
일시품절,에스네이처,[화해1위 3관왕] 에스네이처 아쿠아 오아시스 토너 300ml 기획 (+젤크림 30ml),"24,000","25,650"
76,제로이드,[2월 올영픽] 제로이드 수딩 크림 80ml,"30,000","35,300"
77,이즈앤트리,이즈앤트리 어니언 뉴페어 겔크림 50ml 더블기획 (+20ml),"49,000","27,200"
78,넘버즈인,[수딩진정]넘버즈인 1번 판토텐산 액티브 수딩크림 80ml+80ml 더블 기획,"40,000","23,400"
79,라로슈포제,라로슈포제 시카플라스트 밤B5+ 40ml,"26,000","31,500"
80,쏘내추럴,쏘내추럴 올 데이 메이크업 픽서 더블기획 (120ml+120ml),"42,000","27,200"
81,라로슈포제,[2월 올영픽] 라로슈포제 에빠끌라 듀오+ M 에센스 40ml 기획 (+3ml*2 추가증정),"34,000","27,360"
82,구달,[한정기획] 구달 청귤 비타C 다크서클 아이크림 30ml 기획 (+15ml*2ea증정),"24,000","41,200"
83,제로이드,[2월 올영픽/올영단독] 제로이드 인텐시브 로션 160ml 기획 (+크림 25ml),"32,000","27,080"
84,라로슈포제,[2월 올영픽/리뉴얼 런칭] 라로슈포제 순수 비타민 C12 세럼 30ml 기획 (+멜라B3세럼 3ml*2 증정),"55,000","27,000"
85,더마토리,[총100ml] 더마토리 히알샷 베리어 B5 앰플 50ml 리필기획(+50ml 리필),"35,000","38,900"
86,라로슈포제,라로슈포제 시카플라스트 로션 B5 판테놀 시카에센스 토너 200ml,"36,000","24,500"
87,리얼베리어,[2월한정] 리얼베리어 익스트림 크림 70ml 기획 (+크림 50ml + 세럼 10ml),"39,000","28,900"
88,바이오더마,[2월 올영픽/토너 본품증정]바이오더마 하이드라비오 히알루+ 세럼 30ml 기획 (+토너 250ml 증정),"52,000","19,600"
89,바이오힐보,[재구매1위/퀵보습진정] 바이오힐보 판테셀 리페어시카 크림미스트 120mL+120mL 더블기획,"25,200","31,200"
90,더랩바이블랑두,[속보습] 더랩바이블랑두 올리고 히알루론산 딥 토너 500ml 대용량 기획 (+100ml),"37,000","20,800"
91,샤이샤이샤이,[속건조 종결] 샤이샤이샤이 리포좀 리페어 밀키 크림 50ml,"28,000","23,380"
92,한율,[반쪽모공] 한율 보들은행잎 모공핏 세럼 기획 (40ml+7ml),"39,000","27,300"
93,브링그린,[화잘먹크림] 브링그린 티트리시카수딩크림플러스 100mL+100ml 더블기획,"34,200","19,900"
94,반코르,반코르 바쿠치올 세럼 30ml,"27,500",
95,아비브,[쿨링진정] 아비브 어성초 카밍 토너 스킨부스터 더블 기획 (200ml+200ml),"39,000",
96,에스티로더,에스티로더 갈색병 30ml 기획 (갈색병 21ml 추가 증정),"127,000",
97,아이디얼포맨,[시카]아이디얼 포 맨 시카 올인원 150mL 단품/기획(2024 AD),"30,000",
98,,,,
99,,,,
100,,,,
